robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_B => 2, b, north
robot_B => 2, b, north
robot_B => 2, b, north
robot_A => 1, b, north
robot_A => 1, b, north
robot_B => 2, b, north
robot_A => 1, b, north
robot_B => 2, b, north
robot_A => 1, b, north
